	Canada	Lithuania	Cambodia	Ethiopia	Argentina	Bolivia	Cameroon	Ghana	Saudi Arabia	Cape Verde	Guatemala	Germany	Spain	Liberia	Netherlands	Paraguay	Pakistan	Tanzania	New Zealand	Yemen	Jamaica	Albania	Samoa	Guam	India	Azerbaijan	Kenya	South Korea	Turkey	Afghanistan	Bangladesh	Saint Lucia	France	Bermuda	Somalia	Peru	Laos	Norway	Singapore	China	Armenia	Dominican Republic	Ukraine	Tonga	Finland	Indonesia	United States	Sweden	Vietnam	Russia	Bulgaria	Romania	Portugal	South Africa	Nicaragua	Malaysia	Austria	Uganda	Japan	Brazil	Kuwait	Panama	Guyana	Costa Rica	American Samoa	Bahamas	Ireland	Syria	Nigeria	Ecuador	Czech Republic	Australia	Iran	Algeria	Chile	Puerto Rico	Belgium	Thailand	Haiti	Iraq	Hong Kong	Sierra Leone	Georgia	Denmark	Philippines	Moldova	Morocco	Croatia	Switzerland	Grenada	Belize	Uruguay	Lebanon	Uzbekistan	Dominica	Colombia	Taiwan	Cyprus	Barbados	Italy	Sudan	Nepal	Venezuela	Israel	Senegal	Zimbabwe	Jordan	Poland	Eritrea	Macedonia	North Korea	Trinidad and Tobago	Latvia	Hungary	Belarus	Honduras	Myanmar	Mexico	Egypt	Cuba	United Kingdom	Greece	Sri Lanka	Fiji
Guatemala	99	3	1	1	6	1	0	1	3	0	27	63	9	0	24	0	12	0	28	0	1	0	0	0	134	4	0	7	10	0	3	0	16	0	0	0	0	10	9	23	3	6	6	0	10	7	757	17	4	9	3	8	6	11	0	2	5	0	7	26	0	1	0	0	1	0	10	1	0	2	8	93	5	0	2	1	7	6	0	0	5	0	0	12	9	0	1	4	8	0	0	1	1	0	0	0	4	1	0	26	0	1	0	14	0	0	2	12	0	1	0	0	4	3	0	0	0	4	3	0	128	4	3	1
Germany	11123	772	139	69	1261	79	47	77	322	4	40	41589	3953	3	6585	53	3789	45	1815	24	89	63	0	2	43489	154	390	767	2300	56	1115	0	7568	12	2	170	2	2535	2185	3867	477	97	3008	2	1302	1127	79905	5241	855	4837	1329	2788	1818	2835	30	1061	2025	95	1448	4164	57	44	3	167	1	11	2586	123	302	95	2327	7671	2312	169	384	70	3319	575	6	51	800	0	426	2807	2075	246	321	735	3648	2	1	246	406	92	0	495	683	159	2	5302	13	626	221	5028	5	46	249	4641	0	216	12	0	592	1175	762	24	178	854	931	63	31478	1220	1606	14
Spain	1376	113	22	9	178	11	8	7	36	0	7	2370	5786	0	866	6	624	11	241	2	21	12	0	1	6528	21	53	102	341	10	173	0	1065	2	0	33	0	322	291	459	49	22	412	0	187	186	10427	685	141	629	172	386	271	409	7	141	292	7	177	627	10	5	1	28	0	3	349	14	54	13	270	993	367	23	56	13	428	89	0	5	100	0	54	389	338	29	43	124	410	0	0	48	72	15	0	80	102	31	0	758	4	121	31	693	1	9	47	662	0	40	0	0	67	147	130	6	17	140	146	14	4234	196	216	3
Liberia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Netherlands	4585	284	57	17	483	45	15	38	173	1	21	6576	1511	0	12054	26	1655	23	800	10	60	49	0	1	17470	63	135	249	1116	34	471	0	2873	5	0	70	0	1127	829	1173	162	50	1137	1	511	495	32742	2244	391	1784	573	1162	735	1414	18	451	737	54	446	1887	40	10	13	77	0	3	990	46	142	41	938	3299	1195	56	174	25	1512	209	2	17	317	1	213	1283	951	100	155	377	1385	1	2	107	169	37	0	194	230	52	2	2038	8	295	88	2060	3	21	104	1842	0	86	1	1	257	504	298	8	69	360	469	20	13981	500	637	4
Paraguay	71	0	0	0	7	1	0	0	3	0	0	60	11	0	20	78	19	0	6	1	0	0	0	0	187	0	2	4	9	0	3	0	24	0	0	2	0	9	12	14	0	1	7	0	6	3	391	17	4	24	2	12	12	7	0	3	7	1	8	30	1	0	0	0	0	0	14	3	2	0	8	26	13	0	2	1	15	2	0	0	4	0	2	6	7	0	1	1	14	0	0	0	2	0	0	3	1	0	0	17	0	0	1	27	0	0	1	18	0	0	0	0	3	3	2	0	2	2	8	0	116	3	5	0
Pakistan	767	38	28	5	85	8	3	16	40	1	15	1000	336	0	498	1	4925	8	182	13	10	12	0	0	8596	26	80	68	272	26	309	0	458	0	1	13	0	166	241	273	35	10	233	2	81	249	5884	374	131	278	128	244	164	317	2	172	115	13	117	316	13	3	0	14	0	0	217	22	55	10	143	731	367	15	38	10	216	78	4	12	70	0	58	225	426	35	37	48	162	0	1	13	61	17	0	47	73	21	2	454	3	221	23	393	1	8	43	294	0	26	0	1	52	89	58	5	37	81	144	3	2520	136	319	7
Tanzania	1	3	0	1	0	0	0	0	0	0	0	7	4	0	1	0	3	59	0	0	0	0	0	0	28	0	1	1	1	0	1	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	21	2	0	1	0	4	2	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	2	4	0	0	0	0	0	0	0	1	0	0	0	1	0	0	3	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0
New Zealand	1955	70	29	5	174	24	10	8	29	0	4	1470	335	0	653	9	360	4	4182	9	19	6	0	2	3730	16	22	72	224	4	98	0	584	2	0	19	0	283	297	397	24	20	237	0	115	141	14374	555	110	416	112	264	192	288	4	128	157	4	168	557	11	13	3	28	0	0	257	14	31	17	201	1786	254	19	69	7	335	76	1	8	94	0	58	296	328	21	34	75	218	0	0	31	43	5	0	67	83	23	0	355	1	81	32	516	1	7	18	403	0	19	1	0	57	103	64	10	15	154	97	6	3561	109	124	6
Yemen	7	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	3	0	0	14	0	0	0	0	26	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	2	12	0	0	1	0	0	1	4	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	5	0	1	0
